Tipo;Distrito;Cuartos;Vacantes;Suites;Area;Valor;Mantenimiento;Valor bruto;Valor por m2;Valor bruto por m2;Tipo agrupado
Casa;Mi Perú;2;0;0;50;700.0;0.0;700.0;14.0;14.0;Casa
Casa;La Punta;2;0;1;176;1300.0;0.0;1300.0;7.39;7.39;Casa
Casa;Lince;2;2;1;80;1700.0;0.0;1702.0;21.25;21.28;Casa
Casa;Jesús María;4;5;3;600;12000.0;0.0;12600.0;20.0;21.0;Casa
Casa;Santiago de Surco;4;2;4;330;21000.0;0.0;25200.0;63.64;76.36;Casa
Casa;Ate;2;2;1;74;2500.0;770.0;3270.0;33.78;44.19;Casa
Casa;La Punta;3;0;0;125;2900.0;0.0;2996.0;23.2;23.97;Casa
Casa;Los Olivos;8;0;0;412;4000.0;0.0;4958.0;9.71;12.03;Casa
Casa;Pueblo Libre;6;2;0;750;18000.0;0.0;19800.0;24.0;26.4;Casa
Casa;Lurín;2;0;0;50;800.0;0.0;800.0;16.0;16.0;Casa
Casa;Lince;3;0;0;70;950.0;0.0;995.0;13.57;14.21;Casa
Casa;Chaclacayo;1;0;0;50;600.0;0.0;600.0;12.0;12.0;Casa
Casa;Punta Hermosa;5;0;2;300;7000.0;290.0;7290.0;23.33;24.3;Casa
Casa;Callao;2;3;0;80;2300.0;0.0;2492.0;28.75;31.15;Casa
Casa;Magdalena del Mar;3;4;1;200;3800.0;0.0;4200.0;19.0;21.0;Casa
Casa;Mi Perú;2;0;0;36;700.0;0.0;700.0;19.44;19.44;Casa
Casa;Lurigancho;4;4;4;451;20000.0;0.0;20000.0;44.35;44.35;Casa
Casa;Lurigancho;4;3;4;452;20000.0;0.0;21749.0;44.25;48.12;Casa
Casa;San Juan de Miraflores;2;3;0;67;1000.0;0.0;1000.0;14.93;14.93;Casa
Casa;Santa María del Mar;3;3;1;220;3400.0;0.0;7900.0;15.45;35.91;Casa
Casa;Callao;4;10;1;400;4900.0;0.0;4900.0;12.25;12.25;Casa
Casa;Ate;5;2;0;200;11000.0;1300.0;13200.0;55.0;66.0;Casa
Casa;Mi Perú;1;0;0;30;1000.0;0.0;1000.0;33.33;33.33;Casa
Casa;Chorrillos;4;1;1;252;2300.0;0.0;2501.0;9.13;9.92;Casa
Casa;Villa El Salvador;2;1;0;61;1100.0;570.0;1670.0;18.03;27.38;Casa
Casa;San Juan de Miraflores;3;0;0;60;800.0;0.0;800.0;13.33;13.33;Casa
Casa;Bellavista;1;1;0;40;1200.0;0.0;1214.0;30.0;30.35;Casa
Casa;Pucusana;5;2;3;237;7000.0;0.0;7120.0;29.54;30.04;Casa
Casa;Magdalena del Mar;3;6;1;325;3700.0;0.0;4150.0;11.38;12.77;Casa
Casa;Ate;4;0;3;170;4500.0;0.0;4500.0;26.47;26.47;Casa
Casa;Lince;3;1;1;122;1100.0;0.0;1253.0;9.02;10.27;Casa
Casa;San Miguel;4;2;1;180;2200.0;0.0;2448.0;12.22;13.6;Casa
Casa;San Miguel;3;0;0;120;2900.0;206.0;3106.0;24.17;25.88;Casa
Casa;Callao;2;0;0;360;2000.0;0.0;2000.0;5.56;5.56;Casa
Casa;Pucusana;3;7;3;340;7500.0;1900.0;10370.0;22.06;30.5;Casa
Casa;San Miguel;7;4;0;400;10000.0;0.0;10283.0;25.0;25.71;Casa
Casa;Lince;2;1;2;74;1200.0;0.0;1200.0;16.22;16.22;Casa
Casa;Pucusana;1;0;0;60;1300.0;0.0;1385.0;21.67;23.08;Casa
Casa;San Juan de Lurigancho;6;4;1;641;15000.0;900.0;16900.0;23.4;26.37;Casa
Casa;Jesús María;5;3;4;217;11000.0;1248.0;15490.0;50.69;71.38;Casa
